Altium Designer Pick and Place Locations
C:\Users\davem\OneDrive\Documents\GitHub\dionysus\Dionysus LCD PMOD\Rev B\Project Outputs for Dionysus LCD PMOD Rev B\Assembly\Pick Place\Pick Place for Dionysus LCD PMOD(Production).txt

========================================================================================================================
File Design Information:

Date:       09/07/17
Time:       11:37
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

Designator Comment             Layer       Footprint           Center-X(mil) Center-Y(mil) Rotation Description                        
C1         10uF                BottomLayer C_ERA-0805          381.890       1302.362      270      "CAP CER 10UF 6.3V X7R 10% 0805"   
C2         10uF                BottomLayer C_ERA-0805          476.378       1302.362      270      "CAP CER 10UF 6.3V X7R 10% 0805"   
C3         10uF                BottomLayer C_ERA-0805          381.890       401.575       270      "CAP CER 10UF 6.3V X7R 10% 0805"   
C4         10uF                BottomLayer C_ERA-0805          476.378       401.575       270      "CAP CER 10UF 6.3V X7R 10% 0805"   
C5         0.1uF               BottomLayer C_0402              1145.764      1787.574      360      "CAP CER .10UF 16V X7R 0402"       
C6         10pF                BottomLayer C_ERA-0402          2897.929      919.685       180      "CAP CER 10PF 50V NP0 0402"        
C7         10pF                BottomLayer C_ERA-0402          2897.180      1255.000      360      "CAP CER 10PF 50V NP0 0402"        
C8         C_0603_1µF_16V      BottomLayer C_ERA-0603          4006.617      1141.732      180      "CAP CER 1UF 16V X7R 0603"         
C9         C_0603_1µF_16V      BottomLayer C_ERA-0603          3253.000      1319.465      270      "CAP CER 1UF 16V X7R 0603"         
C10        C_0603_1µF_16V      BottomLayer C_ERA-0603          3436.142      1427.165      270      "CAP CER 1UF 16V X7R 0603"         
C11        C_0603_1µF_16V      BottomLayer C_ERA-0603          3688.110      1430.465      270      "CAP CER 1UF 16V X7R 0603"         
C12        C_0603_1µF_16V      BottomLayer C_ERA-0603          3223.535      716.000       360      "CAP CER 1UF 16V X7R 0603"         
C13        C_0603_1µF_16V      BottomLayer C_ERA-0603          3335.000      587.535       90       "CAP CER 1UF 16V X7R 0603"         
C14        C_0603_1µF_16V      BottomLayer C_ERA-0603          3481.000      551.535       90       "CAP CER 1UF 16V X7R 0603"         
C15        C_0603_1µF_16V      BottomLayer C_ERA-0603          3607.795      602.362       90       "CAP CER 1UF 16V X7R 0603"         
C16        C_0603_1µF_16V      BottomLayer C_ERA-0603          3735.354      602.362       90       "CAP CER 1UF 16V X7R 0603"         
C17        C_0603_1µF_16V      BottomLayer C_ERA-0603          3828.268      1413.386      270      "CAP CER 1UF 16V X7R 0603"         
C18        C_0603_1µF_16V      BottomLayer C_ERA-0603          4021.504      961.622       180      "CAP CER 1UF 16V X7R 0603"         
C19        C_0603_1µF_16V      BottomLayer C_ERA-0603          3978.465      836.220       180      "CAP CER 1UF 16V X7R 0603"         
C20        0.1uF               BottomLayer C_0402              3130.315      795.276       360      "CAP CER .10UF 16V X7R 0402"       
